CGPA,Branch,Role,Duration,Offer type,Gender,Company,Industry,Stpd,CTC,Details,No. of students placed,Additional Info
9.25,ME,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
9.39,ME,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
7.28,ME,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
8.73,ME,Analyst,6M + PPO,PPO,F,JPMC,Oil & Gas,75,20.85,,,
7.94,ECE,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
8.63,EP,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
9.04,EN,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
8.8,PE,Analyst,6M + PPO,PPO,M,JPMC,Oil & Gas,75,20.85,,,
8.91,MCE,Analyst,6M + PPO,PPO,F,JPMC,Oil & Gas,75,20.85,,2,Banking Analyst - Fintech Solutions
8.71,ECE,Analyst,6M + PPO,PPO,F,JPMC,Oil & Gas,75,20.85,,,
8.11,CO,SDE,6M + FTE,6M+FTE,M,Fluid Analytics,Travel,40,20.15,"15.5 + 30% bonus
12 + 30% bonus",2,
8.23,CO,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,20.1 lpa,11,"We will be recruiting for marketing and refinery roles. The candidates will be hired as Management Trainees in Job Group A1. After their probation period we will give them roles like Inspection Engineer, Process Engineer, Operations Officer, Engineering Officer & Sales Officer"
8.52,CO,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
9.03,CO,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
8.68,CO,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
7.65,CO,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
8.31,EE,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
7.32,EE,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
8.22,ME,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
8.82,ME,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
9.12,ME,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
No data,ME,,FTE,Full-time,M,"Bharat Petroleum Corporation Limited
(BPCL)",Industrial,,20.1,,,
9.55,IT,SDE,FTE,Full-time,M,TBO,Logistics,,20,20 lpa,3,
9.21,IT,SDE,FTE,Full-time,M,TBO,Logistics,,20,,,
9.22,SE,SDE,FTE,Full-time,M,TBO,Logistics,,20,,,
9.5,CO,SDE,PPO,PPO,M,Fastenel,Retail,,20,20 lpa,1,
8.6,CO,SDE,6M + PPO,PPO,M,Shipsy,Food Production,50,20,"50K pm
20 lpa

12 lpa (fixed) + 2 lpa (variable) + 2 lpa (paid at end of each for 3 years (retention bonus))",6,
9.39,CO,SDE,6M + PPO,PPO,F,Shipsy,Food Production,50,20,,,
9.19,CO,SDE,6M + PPO,PPO,M,Shipsy,Food Production,50,20,,,
9.4,IT,SDE,6M + PPO,PPO,M,Shipsy,Food Production,50,20,,,
9.24,MCE,SDE,6M + PPO,PPO,M,Shipsy,Food Production,50,20,,,
8.73,ECE,SDE,6M + PPO,PPO,M,Shipsy,Food Production,50,20,,,
9.26,IT,Analyst,6M + PPO,PPO,M,Shipsy,Food Production,50,20,,2,Product Analyst
9.18,EP,Analyst,6M + PPO,PPO,M,Shipsy,Food Production,50,20,,,
8.59,CO,SDE,6M + PPO,PPO,M,MagicPin,Semiconductors,45,20,"45K pm
20 lpa",6,
8.36,IT,SDE,6M + PPO,PPO,M,MagicPin,Semiconductors,45,20,,,
8.72,IT,SDE,6M + PPO,PPO,M,MagicPin,Semiconductors,45,20,,,
9.09,SE,SDE,6M + PPO,PPO,M,MagicPin,Semiconductors,45,20,,,
8.23,SE,SDE,6M + PPO,PPO,M,MagicPin,Semiconductors,45,20,,,
8.92,SE,SDE,6M + PPO,PPO,M,MagicPin,Semiconductors,45,20,,,
8.1,CO,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,20 lpa,12,
8.79,CO,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
9.34,CO,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
8.77,CO,SDE,6M + PPO,PPO,F,McCain,Financial Technology,,20,,,
